"","easting","northing","year","mean.max.canopy.ht.aop","max.canopy.ht.aop","rumple.aop","deepgap.fraction.aop","cover.fraction.aop","top.rugosity.aop","vert.sd.aop","vertCV.aop","sd.sd.aop","entropy.aop","GFP.AOP.aop","VAI.AOP.aop","VCI.AOP.aop","q25.aop","q50.aop","shannon_exotic","evenness_exotic","nspp_exotic","shannon_notexotic","evenness_notexotic","nspp_notexotic","shannon_native","evenness_native","nspp_native","shannon_unknown","evenness_unknown","nspp_unknown","rel_cover_native","rel_cover_unknown","rel_cover_exotic","cover_native","cover_unknown","cover_exotic","rel_cover_notexotic","cover_notexotic","shannon_total","evenness_total","nspp_total","shannon_family","evenness_family","nfamilies","turnover","nestedness","minElev","maxElev","slope","aspect"
"easting",1,0.085905508642544,0.144026296217786,-0.0862026207624762,-0.0728254053589358,0.0626288769463619,-0.0438522437616369,0.0438522437616369,0.0245902645685769,0.00653431149235263,0.186976342626811,-0.003784508559358,-0.114672325096537,0.157459432705985,-0.212594164475122,-0.114672325096537,-0.154925731971278,-0.0904043289264785,-0.103313494133223,-0.132813518257302,-0.105751796835566,0.0176554235231062,0.0103695390691248,0.0210284358981576,0.0353615489403932,0.0218192117028979,0.0315521480515266,0.0369701547921408,-0.0359908483720997,0.0210311904759408,0.142222915528434,-0.148604494185784,-0.119986881304675,0.173478092045611,-0.0497156808454526,-0.114711909729964,0.120464601787622,0.161973361707887,0.0226756473460407,0.00767187638191895,0.0231950975992986,-0.0758255303474096,0.0472767337981443,-0.0444591112686868,0.147724324013783,-0.11623574977728,-0.146383081739933,-0.149157120555791,-0.179040013694228,-0.133581159253024
"northing",0.085905508642544,1,0.409788450507824,-0.260299774735998,-0.28082076386717,-0.188674916013185,-0.00441248777700792,0.00441248777700792,-0.328464233461782,-0.343514511127895,0.189442293719268,-0.378084521479838,-0.220079080229529,-0.0750147623678196,-0.170081203141113,-0.220079080229529,-0.27754186234087,-0.321106906167167,-0.197680149158033,-0.249470913070141,-0.246014760174755,-0.495252883189964,0.427067123161796,-0.516343549731389,-0.484038620769361,0.426178581455975,-0.508187114603083,-0.344466966668019,-0.104115441625575,-0.40497641751053,0.320407818227033,-0.347733199787059,-0.254348544777963,0.0909167255443254,-0.361227801928555,-0.229745268114958,0.254121388267139,0.0650385427158995,-0.493424361585104,0.43115015817274,-0.515753652212625,-0.454193783805152,0.423575165045558,-0.546106056294121,-0.388303679334713,0.257966933580024,0.532986633846603,0.531769425942938,0.210521331222716,0.119786096689854
"year",0.144026296217786,0.409788450507824,1,-0.22823317062522,-0.123837097463028,0.0405742337632427,-0.0464302555903404,0.0464302555903404,0.0316331518243951,-0.10780274513642,0.240554255584536,-0.21028976220588,-0.065859497989498,0.0527702918329926,-0.132459794616038,-0.065859497989498,-0.242128975729676,-0.220746168133776,-0.120591143616322,-0.147680276965218,-0.128111465779486,-0.308479758591612,0.2754915601915,-0.364870311116202,-0.317342026560756,0.293364726392402,-0.384494881719957,-0.0754692835462685,-0.0731818498887893,-0.0876470999566261,0.0337292298902379,-0.0515260441252437,-0.107028532965768,0.00893057630694252,-0.0474730873251855,-0.0950192153378144,0.107462820678261,0.0164239849918514,-0.302283571469272,0.27015409217568,-0.351810719498224,-0.347794122387902,0.292890564797593,-0.424759634811307,-0.159633397074603,0.147842484183796,0.319268722033193,0.317839170630193,0.139635214100591,0.133073487506078
"mean.max.canopy.ht.aop",-0.0862026207624762,-0.260299774735998,-0.22823317062522,1,0.881086589288778,0.338431809962685,-0.0205283976023748,0.0205283976023748,0.421209918027847,0.784114847315905,-0.570497147960833,0.746232041194295,0.788032873792472,0.234976897386864,0.665024819445597,0.788032873792472,0.890141365374603,0.950639249740194,0.0561841706716948,0.147333027257159,0.0842919703232088,0.21809472961792,-0.0946603717239906,0.175145628318571,0.226739682248317,-0.0974361441855113,0.189161760251538,0.115423308758863,0.161720584895541,0.128789547408412,-0.167920332280789,0.211899652812278,0.0950366686993119,-0.188187934133992,0.138241185844215,0.0825579886551423,-0.0951992970960433,-0.186644720423033,0.209428270256053,-0.078401659442962,0.152713084737542,0.33290108684336,-0.169376571909195,0.313042618617193,0.120592986855967,-0.0980936105355935,-0.38328724072768,-0.373755181555853,0.0346401176216837,0.0202462080586119
"max.canopy.ht.aop",-0.0728254053589358,-0.28082076386717,-0.123837097463028,0.881086589288778,1,0.590475003920356,-0.0353451164266068,0.0353451164266068,0.692539756375985,0.92225377950853,-0.30410077561564,0.75449099438123,0.895061341960502,0.474255585389107,0.523601964857295,0.895061341960502,0.736123554921751,0.868082285645338,0.0601275004130115,0.134999671307349,0.0877685643911749,0.178931936637742,-0.110180906891637,0.153230010885978,0.177860452746165,-0.10401583772198,0.15302201520154,0.185279325276773,0.154643500331389,0.197707117643363,-0.191137645601795,0.225436192470446,0.0973174933138726,-0.149030175920623,0.174914769093493,0.084535939516561,-0.0975908371625017,-0.147995909197245,0.169981505922622,-0.0949042948704492,0.138068068448868,0.264890629533901,-0.174380745666488,0.261400608455012,0.15514795879274,-0.0824532531849079,-0.314089540237024,-0.306061123338774,0.0896409635275468,0.0390469578257977
"rumple.aop",0.0626288769463619,-0.188674916013185,0.0405742337632427,0.338431809962685,0.590475003920356,1,-0.063169903784333,0.063169903784333,0.900090307724341,0.683563240749366,0.216149055347642,0.485661996372623,0.631931845578928,0.46823726308349,0.08981832320919,0.631931845578928,0.16087380239054,0.363628832541505,-0.0855371971164732,-0.0396917061260705,-0.0776597180289156,0.0047960011178021,-0.0838625199313976,0.0437749374191849,0.000670749749316442,-0.0767604355592572,0.0379555452062379,0.143149867266628,0.064845873490543,0.133451393381898,0.036187343969989,0.0265488887295559,-0.0857574110203402,0.0237159737914648,0.0430380375062695,-0.0796036500434533,0.085895619749602,0.0101888732544526,-0.00582517356069282,-0.0592224152196426,0.0268275334923785,0.00909275839584441,-0.0417738806910647,0.0155522548818675,0.122701822003002,-0.0545994463129418,-0.0669018280304147,-0.0651874155944079,0.159540020530229,0.111701060493747
"deepgap.fraction.aop",-0.0438522437616369,-0.00441248777700792,-0.0464302555903404,-0.0205283976023748,-0.0353451164266068,-0.063169903784333,1,-1,-0.0790816637981576,-0.0420952279261268,-0.0503043342378897,-0.0093081604213092,-0.0814924440535166,-0.0476063910153836,-0.0102374272331417,-0.0814924440535166,0.0288381418246694,0.00162630308785515,-0.00110899711825814,-0.0239996402971687,-0.00173653339119817,-0.0279140576768216,0.0258770521683129,-0.0251290927399356,-0.0335794144213931,0.0280935559613607,-0.0352080848908039,-0.0069636217564922,-0.0621128421114631,0.0211512626346195,-0.0791324948157309,0.0581849089431453,0.012599980481265,-0.0678898458097989,0.0264451436685792,0.00515478593864562,-0.0123936722959422,-0.05846597084423,-0.025249922536179,0.0163860503712052,-0.0190157842986492,-0.0259716016467497,0.0115884915413235,-0.0267484016963837,-0.00407094648691541,0.0168575726848996,-0.0140931514295983,-0.0170787189405657,0.0279403136476546,0.00585622333222781
"cover.fraction.aop",0.0438522437616369,0.00441248777700792,0.0464302555903404,0.0205283976023748,0.0353451164266068,0.063169903784333,-1,1,0.0790816637981576,0.0420952279261268,0.0503043342378897,0.0093081604213092,0.0814924440535166,0.0476063910153836,0.0102374272331417,0.0814924440535166,-0.0288381418246694,-0.00162630308785515,0.00110899711825814,0.0239996402971687,0.00173653339119817,0.0279140576768216,-0.0258770521683129,0.0251290927399356,0.0335794144213931,-0.0280935559613607,0.0352080848908039,0.0069636217564922,0.0621128421114631,-0.0211512626346195,0.0791324948157309,-0.0581849089431453,-0.012599980481265,0.0678898458097989,-0.0264451436685792,-0.00515478593864562,0.0123936722959422,0.05846597084423,0.025249922536179,-0.0163860503712052,0.0190157842986492,0.0259716016467497,-0.0115884915413235,0.0267484016963837,0.00407094648691541,-0.0168575726848996,0.0140931514295983,0.0170787189405657,-0.0279403136476546,-0.00585622333222781
"top.rugosity.aop",0.0245902645685769,-0.328464233461782,0.0316331518243951,0.421209918027847,0.692539756375985,0.900090307724341,-0.0790816637981576,0.0790816637981576,1,0.785213026229993,0.155796098377543,0.559094470715229,0.72836994728796,0.503579261209528,0.160715366463841,0.72836994728796,0.253447062890005,0.464769567312598,0.038066623322375,0.0846789705554479,0.0657431077972481,0.151508861595279,-0.193116030871064,0.187343044940339,0.14300233286393,-0.184125121232212,0.17788780710715,0.242710106507023,0.121628741962904,0.244466377637272,-0.086129118721309,0.113478540324633,0.0576794060698502,0.0321918266851686,0.144488569954878,0.0623460931325222,-0.0573383507648658,0.0294330292109157,0.146576696840017,-0.180000520545093,0.17938633897701,0.152276186157884,-0.147448164667591,0.170916588965963,0.234730255970823,-0.150756166693786,-0.236863692705176,-0.234538015061317,0.0672427261581465,0.0440066347893781
"vert.sd.aop",0.00653431149235263,-0.343514511127895,-0.10780274513642,0.784114847315905,0.92225377950853,0.683563240749366,-0.0420952279261268,0.0420952279261268,0.785213026229993,1,-0.0861131582840642,0.813225612462398,0.840622448644117,0.598589083073518,0.297458980396191,0.840622448644117,0.584374500965773,0.801674101060932,0.0803393260446602,0.156529167869171,0.123049229392272,0.220679955178328,-0.187382945846872,0.223180103933125,0.217937470205643,-0.179858877485603,0.220176040570948,0.248839730121633,0.160455006717841,0.263073863618693,-0.179130288517732,0.199379421111047,0.132720459084146,-0.037764267772911,0.206619542785752,0.126109357415861,-0.132995657916681,-0.0371889515931328,0.213371502073961,-0.172607239138416,0.209868453249356,0.271641217034427,-0.204721857688451,0.286941538488088,0.214376510501342,-0.161467906403078,-0.365027965752413,-0.358856015914499,0.0173592370403693,0.00282359237156814
"vertCV.aop",0.186976342626811,0.189442293719268,0.240554255584536,-0.570497147960833,-0.30410077561564,0.216149055347642,-0.0503043342378897,0.0503043342378897,0.155796098377543,-0.0861131582840642,1,-0.240166286760073,-0.233735500079452,0.447838778965595,-0.783827782325386,-0.233735500079452,-0.781710291957812,-0.589986566421217,0.03661189229586,-0.0291112749856323,0.0296060227454141,-0.160739495947967,0.0160496038377872,-0.0942235646346897,-0.171902106015857,0.0270061191445526,-0.114587565789709,0.0755546529778914,-0.0445667443406475,0.0562191601458295,0.0986321921662902,-0.155583422826639,0.0143468200702273,0.270258974966845,-0.0266601584329852,0.0250093658190046,-0.014667729464228,0.253866338814405,-0.144863795266875,0.00076074925616846,-0.0683277448996939,-0.212857772012208,0.0564739371291116,-0.171763455773391,0.0113715556879958,0.0141056938603116,0.209017975166852,0.202340787186104,0.0209124414999726,-0.0332369703026349
"sd.sd.aop",-0.003784508559358,-0.378084521479838,-0.21028976220588,0.746232041194295,0.75449099438123,0.485661996372623,-0.0093081604213092,0.0093081604213092,0.559094470715229,0.813225612462398,-0.240166286760073,1,0.631967496068515,0.432722937134591,0.301835397956879,0.631967496068515,0.615779289345451,0.771858002949443,0.0290957239191039,0.111941988974068,0.0703640383073776,0.26133021188925,-0.14918291543608,0.226127006063649,0.26469615234985,-0.140480737091852,0.227083687396068,0.188254169227455,0.125278498674504,0.212470269975297,-0.175671995616273,0.207478201195707,0.0912190322998027,-0.0852674650404632,0.190847190947137,0.0773161556024544,-0.091287746199673,-0.07703037357275,0.247028338200887,-0.138184140086904,0.206800609705845,0.294837254316415,-0.174913596363856,0.291096610985935,0.199743123347613,-0.174210970685219,-0.420471473523766,-0.413047644047046,-0.0509458917736532,-0.0190762095054088
"entropy.aop",-0.114672325096537,-0.220079080229529,-0.065859497989498,0.788032873792472,0.895061341960502,0.631931845578928,-0.0814924440535166,0.0814924440535166,0.72836994728796,0.840622448644117,-0.233735500079452,0.631967496068515,1,0.350699653700528,0.542978909646592,1,0.640324643548953,0.750037429175823,0.0624589685724913,0.138311706291946,0.0806579655291886,0.148762541027172,-0.0718011476649443,0.117864371525173,0.148473433022285,-0.0670170985364464,0.119448758063729,0.149102860815108,0.166605093234126,0.151097810580701,-0.153039309915927,0.174284690164054,0.09529661083044,-0.158988268861946,0.115882778817526,0.0853259774887654,-0.0952822472928575,-0.162379834684046,0.141688983895979,-0.055151478622035,0.101412929830214,0.250207841326897,-0.139875363696637,0.229607386275734,0.144585823981181,-0.0679671647333082,-0.244025502455005,-0.237099667993131,0.119231590804028,0.088994887298877
"GFP.AOP.aop",0.157459432705985,-0.0750147623678196,0.0527702918329926,0.234976897386864,0.474255585389107,0.46823726308349,-0.0476063910153836,0.0476063910153836,0.503579261209528,0.598589083073518,0.447838778965595,0.432722937134591,0.350699653700528,1,-0.378676077352644,0.350699653700528,0.014367186961958,0.244911663335295,0.111510137147388,0.102232132961022,0.129091064065152,0.0430558942142783,-0.124523769732769,0.094292990545098,0.0362718217982367,-0.111051788757322,0.0774060237922825,0.220803909522482,0.0542380401624224,0.234820535489565,-0.106556204898379,0.0653554762097535,0.123969049759024,0.196731937410968,0.176936082429138,0.129354603887571,-0.124395129860244,0.195268361321987,0.0568865033616254,-0.127253378063682,0.110022085467959,0.0543617226754922,-0.117000763009518,0.106296507758402,0.138921612913204,-0.126556948941245,-0.186600305687912,-0.18373557151404,-0.00398372574727418,-0.0954293794747029
"VAI.AOP.aop",-0.212594164475122,-0.170081203141113,-0.132459794616038,0.665024819445597,0.523601964857295,0.08981832320919,-0.0102374272331417,0.0102374272331417,0.160715366463841,0.297458980396191,-0.783827782325386,0.301835397956879,0.542978909646592,-0.378676077352644,1,0.542978909646592,0.740716665186553,0.625079770627751,-0.0583720782850209,0.0102959768117201,-0.0478665331941404,0.143863066404132,0.0233340329590105,0.0567098957626189,0.15124272311895,0.0170684805393307,0.0722386994143601,-0.0387773963861453,0.0944424911474075,-0.0360933459548036,-0.0890007142242225,0.166074086996985,-0.0383342554613123,-0.359230905926805,-0.00746903123414986,-0.0562398784300614,0.038553777632124,-0.35569400344425,0.124287132026075,0.041201413811786,0.0279799902473956,0.215142179761103,-0.0620584893625028,0.1644308038471,0.0163082787860273,0.0280817513273762,-0.131162090269458,-0.124560804781104,0.0863423868932819,0.127590091533823
"VCI.AOP.aop",-0.114672325096537,-0.220079080229529,-0.065859497989498,0.788032873792472,0.895061341960502,0.631931845578928,-0.0814924440535166,0.0814924440535166,0.72836994728796,0.840622448644117,-0.233735500079452,0.631967496068515,1,0.350699653700528,0.542978909646592,1,0.640324643548953,0.750037429175823,0.0624589685724913,0.138311706291946,0.0806579655291886,0.148762541027172,-0.0718011476649443,0.117864371525173,0.148473433022285,-0.0670170985364464,0.119448758063729,0.149102860815108,0.166605093234126,0.151097810580701,-0.153039309915927,0.174284690164054,0.09529661083044,-0.158988268861946,0.115882778817526,0.0853259774887654,-0.0952822472928575,-0.162379834684046,0.141688983895979,-0.055151478622035,0.101412929830214,0.250207841326897,-0.139875363696637,0.229607386275734,0.144585823981181,-0.0679671647333082,-0.244025502455005,-0.237099667993131,0.119231590804028,0.088994887298877
"q25.aop",-0.154925731971278,-0.27754186234087,-0.242128975729676,0.890141365374603,0.736123554921751,0.16087380239054,0.0288381418246694,-0.0288381418246694,0.253447062890005,0.584374500965773,-0.781710291957812,0.615779289345451,0.640324643548953,0.014367186961958,0.740716665186553,0.640324643548953,1,0.902647394189091,0.00994333712264155,0.0936272900811001,0.0412171021022632,0.209424171089005,-0.066761166184465,0.148710450304346,0.219559256358605,-0.0718518080164642,0.163499312599181,0.0513882484079934,0.129050877469753,0.0669970380842424,-0.165531072233842,0.213179011683741,0.0635342010286339,-0.228339897219475,0.114519195046272,0.0482155502119096,-0.0635217645626462,-0.216229311540842,0.197804144766536,-0.0491363588589942,0.12310392162593,0.302318114883613,-0.124859140273574,0.262999642106578,0.0868066058445175,-0.0633337377548065,-0.328930420243829,-0.319575762814013,0.0266125609529554,0.0240687501870756
"q50.aop",-0.0904043289264785,-0.321106906167167,-0.220746168133776,0.950639249740194,0.868082285645338,0.363628832541505,0.00162630308785515,-0.00162630308785515,0.464769567312598,0.801674101060932,-0.589986566421217,0.771858002949443,0.750037429175823,0.244911663335295,0.625079770627751,0.750037429175823,0.902647394189091,1,0.0350204997329821,0.129736863247197,0.0644858174414666,0.23662963360762,-0.128860216850788,0.197824661161152,0.243220884277191,-0.132021656225306,0.208359697547025,0.126635754839224,0.143013785616869,0.151465005628594,-0.180180863650312,0.233013740156781,0.0808293422875521,-0.156855479145701,0.173444431428427,0.0687075151378302,-0.0809635780665483,-0.149040066222327,0.227350537041374,-0.105003745914145,0.173574989469908,0.31057905141667,-0.159164017957283,0.290416858606671,0.143785220309233,-0.121929264227183,-0.380222139972418,-0.370826968875225,0.0106586098236212,-0.00612699027595804
"shannon_exotic",-0.103313494133223,-0.197680149158033,-0.120591143616322,0.0561841706716948,0.0601275004130115,-0.0855371971164732,-0.00110899711825814,0.00110899711825814,0.038066623322375,0.0803393260446602,0.03661189229586,0.0290957239191039,0.0624589685724913,0.111510137147388,-0.0583720782850209,0.0624589685724913,0.00994333712264155,0.0350204997329821,1,0.930367588498993,0.919354763011724,0.281828129319642,-0.265949648216163,0.330140584382889,0.253916322227972,-0.245257604425028,0.295059808843705,0.321419688004971,0.120618171221908,0.365916171751306,-0.554486482699406,0.244328071499594,0.837929967872649,0.0501996168900287,0.340886487210481,0.840208266027945,-0.837358703787482,0.0846709182510103,0.338331101924479,-0.365022832008309,0.427704610225059,0.387902527998625,-0.320534350351226,0.457743909263361,0.163564476806521,-0.19756127025297,-0.30363259800932,-0.300810848746606,-0.0552320777157041,-0.0484461321204504
"evenness_exotic",-0.132813518257302,-0.249470913070141,-0.147680276965218,0.147333027257159,0.134999671307349,-0.0396917061260705,-0.0239996402971687,0.0239996402971687,0.0846789705554479,0.156529167869171,-0.0291112749856323,0.111941988974068,0.138311706291946,0.102232132961022,0.0102959768117201,0.138311706291946,0.0936272900811001,0.129736863247197,0.930367588498993,1,0.826724190538959,0.313509525676066,-0.279415706858252,0.349298320550555,0.288186616246566,-0.263384971732245,0.321560382682049,0.290551341901392,0.116268877774467,0.338993291851775,-0.471650190890393,0.256019731682042,0.758995161260603,0.039100620344411,0.31822136869796,0.754394227183627,-0.758705981060733,0.0704754850922221,0.358484536663253,-0.344617685868741,0.414859664245036,0.417011603062797,-0.296545070512042,0.455636933270837,0.189968755245447,-0.223015464286818,-0.34713586634215,-0.343698399946953,-0.101044154972252,-0.0600181715239023
"nspp_exotic",-0.105751796835566,-0.246014760174755,-0.128111465779486,0.0842919703232088,0.0877685643911749,-0.0776597180289156,-0.00173653339119817,0.00173653339119817,0.0657431077972481,0.123049229392272,0.0296060227454141,0.0703640383073776,0.0806579655291886,0.129091064065152,-0.0478665331941404,0.0806579655291886,0.0412171021022632,0.0644858174414666,0.919354763011724,0.826724190538959,1,0.327303378512811,-0.327501386643897,0.389529022371184,0.295349438376406,-0.306598559008499,0.352185341560612,0.370804754696611,0.146808817946404,0.418572676913114,-0.619203893045254,0.276167053308878,0.957990964703421,0.0914858824058315,0.403302815489785,0.964239831519534,-0.957637600648197,0.128879547874925,0.378155345835402,-0.433369321168099,0.490239829403495,0.425408519929511,-0.384772150945228,0.519348286116928,0.20546821575001,-0.241882426092542,-0.343237225843633,-0.340167682750583,-0.0663729966534636,-0.0687327623236493
"shannon_notexotic",0.0176554235231062,-0.495252883189964,-0.308479758591612,0.21809472961792,0.178931936637742,0.0047960011178021,-0.0279140576768216,0.0279140576768216,0.151508861595279,0.220679955178328,-0.160739495947967,0.26133021188925,0.148762541027172,0.0430558942142783,0.143863066404132,0.148762541027172,0.209424171089005,0.23662963360762,0.281828129319642,0.313509525676066,0.327303378512811,1,-0.415623270557422,0.826422044973994,0.986775825885886,-0.394541605251478,0.824006881629552,0.46034755357604,0.159617379682104,0.509519802146227,-0.364237617111633,0.375884866643778,0.309892077196925,0.0263498662424731,0.420800175630883,0.289561679262128,-0.309453291466692,0.0485666034963164,0.984703919430579,-0.439733446666046,0.816817676088501,0.902338446090706,-0.297232206946811,0.795362361130226,0.30390551454578,-0.414119871865423,-0.519745460388087,-0.519841179266228,-0.389595876188937,-0.220349882650985
"evenness_notexotic",0.0103695390691248,0.427067123161796,0.2754915601915,-0.0946603717239906,-0.110180906891637,-0.0838625199313976,0.0258770521683129,-0.0258770521683129,-0.193116030871064,-0.187382945846872,0.0160496038377872,-0.14918291543608,-0.0718011476649443,-0.124523769732769,0.0233340329590105,-0.0718011476649443,-0.066761166184465,-0.128860216850788,-0.265949648216163,-0.279415706858252,-0.327501386643897,-0.415623270557422,1,-0.823648519241343,-0.414482934340086,0.984636728017929,-0.811429821854818,-0.539251781543499,-0.229540996399602,-0.551448333848981,0.0793510530506043,-0.0793603055378124,-0.23998611770672,-0.46447571803154,-0.313014563323458,-0.283718882722389,0.239239840995096,-0.474227801153474,-0.434254161621032,0.976219000169862,-0.817605495241672,-0.387876333554337,0.830341683059271,-0.720321657260267,-0.167729688692627,0.286140516273735,0.322152791885117,0.323741485536989,0.21707257451051,0.0860576527978816
"nspp_notexotic",0.0210284358981576,-0.516343549731389,-0.364870311116202,0.175145628318571,0.153230010885978,0.0437749374191849,-0.0251290927399356,0.0251290927399356,0.187343044940339,0.223180103933125,-0.0942235646346897,0.226127006063649,0.117864371525173,0.094292990545098,0.0567098957626189,0.117864371525173,0.148710450304346,0.197824661161152,0.330140584382889,0.349298320550555,0.389529022371184,0.826422044973994,-0.823648519241343,1,0.819151761581006,-0.799348423081275,0.991650406586469,0.592265727726515,0.23015901153989,0.627596327132626,-0.248246829057207,0.251313812918246,0.319555889337152,0.31838057329478,0.430538482740869,0.338357981163076,-0.318761331740224,0.337847735974109,0.83254782836242,-0.822899835977596,0.989734012302507,0.764682870669447,-0.644781206592274,0.913840212435105,0.287135455365399,-0.436980518921884,-0.495466244676322,-0.496945393369164,-0.364828342127607,-0.181909401593683
